file_id,file_name,file_label,start_sec,end_sec,duration_sec,auto_label,needs_review
76918not ok,76918not ok.wav,NOK,0.0,0.7,0.7,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,0.3,1.3,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,0.6,1.6,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,1.6,2.6,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,2.4,3.4,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,4.8,5.8,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,5.8,7.0,1.2,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,6.4,7.4,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,6.8,7.8,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,7.1,8.3,1.2,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,8.0,9.0,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,9.6,10.6,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,10.8,11.8,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,11.2,12.4,1.2,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,11.7,12.7,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,12.1,13.1,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,14.0,15.0,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,15.3,16.7,1.4,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,16.0,17.0,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,18.5,19.5,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,21.0,22.1,1.1,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,24.2,25.2,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,26.5,27.5,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,28.0,29.0,1.0,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,40.0,41.4,1.4,NOK_BSR,True
76918not ok,76918not ok.wav,NOK,41.4,42.4,1.0,NOK_BSR,True
